#site     state_i   state_j   OP.real    OP.imag
6       5          3        -0.234499        -1.23238e-12
6       5          4        -1.95944e-05        2.22959e-05
6       5          5        0.333073        0
7       0          0        0.000988299        0
7       0          1        -2.60738e-11        -1.14635e-11
7       0          2        -9.3475e-05        9.35313e-05
7       0          3        -0.000553294        -6.60104e-12
7       0          4        -6.60969e-05        6.61367e-05
7       0          5        0.000782476        6.16914e-12
7       1          0        -2.60738e-11        1.14635e-11
7       1          1        0.641595        0
7       1          2        -0.204804        -1.39803e-11
7       1          3        0.143474        -5.39428e-08
7       1          4        0.289637        -3.02941e-11
7       1          5        0.101451        -3.81172e-08
7       2          0        -9.3475e-05        -9.35313e-05
7       2          1        -0.204804        1.39803e-11
7       2          2        0.21461        0
7       2          3        0.0828887        5.39692e-05
7       2          4        -0.301924        6.2745e-12
7       2          5        0.0584967        -7.63901e-05
7       3          0        -0.000553294        6.60104e-12
7       3          1        0.143474        5.39428e-08
7       3          2        0.0828887        -5.39692e-05
7       3          3        0.607937        0
7       3          4        -0.117108        -3.82282e-05
7       3          5        0.429178        7.7761e-13
7       4          0        -6.60969e-05        -6.61367e-05
7       4          1        0.289637        3.02941e-11
7       4          2        -0.301924        -6.2745e-12
7       4          3        -0.117108        3.82282e-05
7       4          4        0.428103        0
7       4          5        -0.0828887        -5.39692e-05
7       5          0        0.000782476        -6.16914e-12
7       5          1        0.101451        3.81172e-08
7       5          2        0.0584967        7.63901e-05
7       5          3        0.429178        -7.7761e-13
7       5          4        -0.0828887        5.39692e-05
7       5          5        0.304463        0
8       0          0        0.981097        0
8       0          1        -7.85331e-10        1.54408e-11
8       0          2        0.00760535        1.84893e-06
8       0          3        -0.0107631        -1.19756e-11
8       0          4        0.00537779        1.3073e-06
8       0          5        0.0152213        -1.053e-11
8       1          0        -7.85331e-10        -1.54408e-11
8       1          1        4.18838e-06        0
8       1          2        -1.23195e-06        -2.64122e-13
8       1          3        7.36053e-09        -2.31034e-08
8       1          4        1.74237e-06        -1.86492e-13
8       1          5        6.00138e-09        -1.646e-08
8       2          0        0.00760535        -1.84893e-06
8       2          1        -1.23195e-06        2.64122e-13
8       2          2        0.194279        0
8       2          3        -0.00439095        1.05418e-06
8       2          4        0.137373        -3.14184e-12
8       2          5        0.00620975        -1.51914e-06
8       3          0        -0.0107631        1.19756e-11
8       3          1        7.36053e-09        2.31034e-08
8       3          2        -0.00439095        -1.05418e-06
8       3          3        0.327037        0
