#(w-mu)    yz_up    xz_up      xy_up     yz_dn    xz_dn      xy_dn
-28.57       0.00308186      0.002165      0.0037502      0.00308186      0.002165      0.0037502      
-28.56       0.00308428      0.00216643      0.00375343      0.00308428      0.00216643      0.00375343      
-28.55       0.0030867      0.00216785      0.00375667      0.0030867      0.00216785      0.00375667      
-28.54       0.00308912      0.00216928      0.00375992      0.00308912      0.00216928      0.00375992      
-28.53       0.00309155      0.00217071      0.00376316      0.00309155      0.00217071      0.00376316      
-28.52       0.00309398      0.00217215      0.00376642      0.00309398      0.00217215      0.00376642      
-28.51       0.00309641      0.00217358      0.00376967      0.00309641      0.00217358      0.00376967      
-28.5       0.00309884      0.00217502      0.00377293      0.00309884      0.00217502      0.00377293      
-28.49       0.00310128      0.00217645      0.0037762      0.00310128      0.00217645      0.0037762      
-28.48       0.00310372      0.00217789      0.00377947      0.00310372      0.00217789      0.00377947      
-28.47       0.00310616      0.00217933      0.00378274      0.00310616      0.00217933      0.00378274      
-28.46       0.00310861      0.00218077      0.00378602      0.00310861      0.00218077      0.00378602      
-28.45       0.00311106      0.00218221      0.0037893      0.00311106      0.00218221      0.0037893      
-28.44       0.00311351      0.00218366      0.00379259      0.00311351      0.00218366      0.00379259      
-28.43       0.00311597      0.0021851      0.00379588      0.00311597      0.0021851      0.00379588      
-28.42       0.00311842      0.00218655      0.00379918      0.00311842      0.00218655      0.00379918      
-28.41       0.00312088      0.002188      0.00380248      0.00312088      0.002188      0.00380248      
-28.4       0.00312335      0.00218945      0.00380578      0.00312335      0.00218945      0.00380578      
-28.39       0.00312582      0.0021909      0.00380909      0.00312582      0.0021909      0.00380909      
-28.38       0.00312828      0.00219235      0.0038124      0.00312828      0.00219235      0.0038124      
-28.37       0.00313076      0.00219381      0.00381572      0.00313076      0.00219381      0.00381572      
-28.36       0.00313323      0.00219526      0.00381904      0.00313323      0.00219526      0.00381904      
-28.35       0.00313571      0.00219672      0.00382236      0.00313571      0.00219672      0.00382236      
-28.34       0.00313819      0.00219818      0.00382569      0.00313819      0.00219818      0.00382569      
-28.33       0.00314068      0.00219964      0.00382903      0.00314068      0.00219964      0.00382903      
-28.32       0.00314316      0.0022011      0.00383237      0.00314316      0.0022011      0.00383237      
-28.31       0.00314566      0.00220256      0.00383571      0.00314566      0.00220256      0.00383571      
-28.3       0.00314815      0.00220403      0.00383906      0.00314815      0.00220403      0.00383906      
-28.29       0.00315064      0.00220549      0.00384241      0.00315064      0.00220549      0.00384241      
-28.28       0.00315314      0.00220696      0.00384576      0.00315314      0.00220696      0.00384576      
-28.27       0.00315565      0.00220843      0.00384913      0.00315565      0.00220843      0.00384913      
-28.26       0.00315815      0.0022099      0.00385249      0.00315815      0.0022099      0.00385249      
-28.25       0.00316066      0.00221137      0.00385586      0.00316066      0.00221137      0.00385586      
-28.24       0.00316317      0.00221284      0.00385923      0.00316317      0.00221284      0.00385923      
-28.23       0.00316569      0.00221432      0.00386261      0.00316569      0.00221432      0.00386261      
-28.22       0.0031682      0.00221579      0.00386599      0.0031682      0.00221579      0.00386599      
-28.21       0.00317072      0.00221727      0.00386938      0.00317072      0.00221727      0.00386938      
-28.2       0.00317325      0.00221875      0.00387277      0.00317325      0.00221875      0.00387277      
-28.19       0.00317577      0.00222023      0.00387617      0.00317577      0.00222023      0.00387617      
-28.18       0.0031783      0.00222171      0.00387957      0.0031783      0.00222171      0.00387957      
-28.17       0.00318083      0.0022232      0.00388298      0.00318083      0.0022232      0.00388298      
-28.16       0.00318337      0.00222468      0.00388639      0.00318337      0.00222468      0.00388639      
-28.15       0.00318591      0.00222617      0.0038898      0.00318591      0.00222617      0.0038898      
-28.14       0.00318845      0.00222766      0.00389322      0.00318845      0.00222766      0.00389322      
-28.13       0.00319099      0.00222915      0.00389664      0.00319099      0.00222915      0.00389664      
-28.12       0.00319354      0.00223064      0.00390007      0.00319354      0.00223064      0.00390007      
-28.11       0.00319609      0.00223213      0.0039035      0.00319609      0.00223213      0.0039035      
-28.1       0.00319865      0.00223363      0.00390694      0.00319865      0.00223363      0.00390694      
-28.09       0.0032012      0.00223512      0.00391038      0.0032012      0.00223512      0.00391038      
-28.08       0.00320376      0.00223662      0.00391383      0.00320376      0.00223662      0.00391383      
-28.07       0.00320633      0.00223812      0.00391728      0.00320633      0.00223812      0.00391728      
-28.06       0.00320889      0.00223962      0.00392073      0.00320889      0.00223962      0.00392073      
-28.05       0.00321146      0.00224112      0.00392419      0.00321146      0.00224112      0.00392419      
-28.04       0.00321403      0.00224262      0.00392765      0.00321403      0.00224262      0.00392765      
-28.03       0.00321661      0.00224413      0.00393112      0.00321661      0.00224413      0.00393112      
-28.02       0.00321919      0.00224563      0.0039346      0.00321919      0.00224563      0.0039346      
-28.01       0.00322177      0.00224714      0.00393808      0.00322177      0.00224714      0.00393808      
-28       0.00322436      0.00224865      0.00394156      0.00322436      0.00224865      0.00394156      
-27.99       0.00322694      0.00225016      0.00394505      0.00322694      0.00225016      0.00394505      
-27.98       0.00322953      0.00225168      0.00394854      0.00322953      0.00225168      0.00394854      
-27.97       0.00323213      0.00225319      0.00395203      0.00323213      0.00225319      0.00395203      
-27.96       0.00323473      0.00225471      0.00395554      0.00323473      0.00225471      0.00395554      
-27.95       0.00323733      0.00225622      0.00395904      0.00323733      0.00225622      0.00395904      
-27.94       0.00323993      0.00225774      0.00396255      0.00323993      0.00225774      0.00396255      
-27.93       0.00324254      0.00225926      0.00396607      0.00324254      0.00225926      0.00396607      
-27.92       0.00324515      0.00226078      0.00396959      0.00324515      0.00226078      0.00396959      
-27.91       0.00324776      0.00226231      0.00397311      0.00324776      0.00226231      0.00397311      
-27.9       0.00325038      0.00226383      0.00397664      0.00325038      0.00226383      0.00397664      
-27.89       0.003253      0.00226536      0.00398018      0.003253      0.00226536      0.00398018      
-27.88       0.00325562      0.00226689      0.00398371      0.00325562      0.00226689      0.00398371      
-27.87       0.00325824      0.00226842      0.00398726      0.00325824      0.00226842      0.00398726      
-27.86       0.00326087      0.00226995      0.00399081      0.00326087      0.00226995      0.00399081      
-27.85       0.00326351      0.00227148      0.00399436      0.00326351      0.00227148      0.00399436      
-27.84       0.00326614      0.00227301      0.00399792      0.00326614      0.00227301      0.00399792      
-27.83       0.00326878      0.00227455      0.00400148      0.00326878      0.00227455      0.00400148      
-27.82       0.00327142      0.00227609      0.00400505      0.00327142      0.00227609      0.00400505      
-27.81       0.00327407      0.00227763      0.00400862      0.00327407      0.00227763      0.00400862      
-27.8       0.00327672      0.00227917      0.0040122      0.00327672      0.00227917      0.0040122      
-27.79       0.00327937      0.00228071      0.00401578      0.00327937      0.00228071      0.00401578      
-27.78       0.00328202      0.00228225      0.00401937      0.00328202      0.00228225      0.00401937      
-27.77       0.00328468      0.0022838      0.00402296      0.00328468      0.0022838      0.00402296      
-27.76       0.00328734      0.00228534      0.00402655      0.00328734      0.00228534      0.00402655      
-27.75       0.00329001      0.00228689      0.00403015      0.00329001      0.00228689      0.00403015      
-27.74       0.00329267      0.00228844      0.00403376      0.00329267      0.00228844      0.00403376      
-27.73       0.00329534      0.00228999      0.00403737      0.00329534      0.00228999      0.00403737      
-27.72       0.00329802      0.00229155      0.00404099      0.00329802      0.00229155      0.00404099      
-27.71       0.0033007      0.0022931      0.00404461      0.0033007      0.0022931      0.00404461      
-27.7       0.00330338      0.00229466      0.00404823      0.00330338      0.00229466      0.00404823      
-27.69       0.00330606      0.00229622      0.00405186      0.00330606      0.00229622      0.00405186      
-27.68       0.00330875      0.00229778      0.0040555      0.00330875      0.00229778      0.0040555      
-27.67       0.00331144      0.00229934      0.00405914      0.00331144      0.00229934      0.00405914      
-27.66       0.00331413      0.0023009      0.00406278      0.00331413      0.0023009      0.00406278      
-27.65       0.00331683      0.00230247      0.00406643      0.00331683      0.00230247      0.00406643      
-27.64       0.00331953      0.00230403      0.00407009      0.00331953      0.00230403      0.00407009      
-27.63       0.00332224      0.0023056      0.00407375      0.00332224      0.0023056      0.00407375      
-27.62       0.00332494      0.00230717      0.00407741      0.00332494      0.00230717      0.00407741      
-27.61       0.00332765      0.00230874      0.00408108      0.00332765      0.00230874      0.00408108      
-27.6       0.00333037      0.00231031      0.00408476      0.00333037      0.00231031      0.00408476      
-27.59       0.00333309      0.00231189      0.00408844      0.00333309      0.00231189      0.00408844      
-27.58       0.00333581      0.00231346      0.00409212      0.00333581      0.00231346      0.00409212      
-27.57       0.00333853      0.00231504      0.00409581      0.00333853      0.00231504      0.00409581      
-27.56       0.00334126      0.00231662      0.00409951      0.00334126      0.00231662      0.00409951      
-27.55       0.00334399      0.0023182      0.00410321      0.00334399      0.0023182      0.00410321      
-27.54       0.00334672      0.00231978      0.00410691      0.00334672      0.00231978      0.00410691      
-27.53       0.00334946      0.00232136      0.00411062      0.00334946      0.00232136      0.00411062      
-27.52       0.0033522      0.00232295      0.00411434      0.0033522      0.00232295      0.00411434      
-27.51       0.00335494      0.00232454      0.00411806      0.00335494      0.00232454      0.00411806      
-27.5       0.00335769      0.00232613      0.00412178      0.00335769      0.00232613      0.00412178      
-27.49       0.00336044      0.00232772      0.00412551      0.00336044      0.00232772      0.00412551      
-27.48       0.0033632      0.00232931      0.00412925      0.0033632      0.00232931      0.00412925      
-27.47       0.00336596      0.0023309      0.00413299      0.00336596      0.0023309      0.00413299      
-27.46       0.00336872      0.0023325      0.00413673      0.00336872      0.0023325      0.00413673      
-27.45       0.00337148      0.0023341      0.00414048      0.00337148      0.0023341      0.00414048      
-27.44       0.00337425      0.00233569      0.00414424      0.00337425      0.00233569      0.00414424      
-27.43       0.00337702      0.00233729      0.004148      0.00337702      0.00233729      0.004148      
-27.42       0.0033798      0.0023389      0.00415176      0.0033798      0.0023389      0.00415176      
-27.41       0.00338257      0.0023405      0.00415554      0.00338257      0.0023405      0.00415554      
-27.4       0.00338536      0.00234211      0.00415931      0.00338536      0.00234211      0.00415931      
-27.39       0.00338814      0.00234371      0.00416309      0.00338814      0.00234371      0.00416309      
-27.38       0.00339093      0.00234532      0.00416688      0.00339093      0.00234532      0.00416688      
-27.37       0.00339372      0.00234693      0.00417067      0.00339372      0.00234693      0.00417067      
-27.36       0.00339652      0.00234854      0.00417447      0.00339652      0.00234854      0.00417447      
-27.35       0.00339932      0.00235016      0.00417827      0.00339932      0.00235016      0.00417827      
-27.34       0.00340212      0.00235177      0.00418208      0.00340212      0.00235177      0.00418208      
-27.33       0.00340493      0.00235339      0.00418589      0.00340493      0.00235339      0.00418589      
-27.32       0.00340773      0.00235501      0.00418971      0.00340773      0.00235501      0.00418971      
-27.31       0.00341055      0.00235663      0.00419353      0.00341055      0.00235663      0.00419353      
-27.3       0.00341336      0.00235825      0.00419736      0.00341336      0.00235825      0.00419736      
-27.29       0.00341618      0.00235988      0.00420119      0.00341618      0.00235988      0.00420119      
-27.28       0.00341901      0.0023615      0.00420503      0.00341901      0.0023615      0.00420503      
-27.27       0.00342184      0.00236313      0.00420887      0.00342184      0.00236313      0.00420887      
-27.26       0.00342467      0.00236476      0.00421272      0.00342467      0.00236476      0.00421272      
-27.25       0.0034275      0.00236639      0.00421658      0.0034275      0.00236639      0.00421658      
-27.24       0.00343034      0.00236802      0.00422044      0.00343034      0.00236802      0.00422044      
-27.23       0.00343318      0.00236965      0.0042243      0.00343318      0.00236965      0.0042243      
-27.22       0.00343602      0.00237129      0.00422817      0.00343602      0.00237129      0.00422817      
-27.21       0.00343887      0.00237293      0.00423205      0.00343887      0.00237293      0.00423205      
-27.2       0.00344172      0.00237457      0.00423593      0.00344172      0.00237457      0.00423593      
-27.19       0.00344458      0.00237621      0.00423982      0.00344458      0.00237621      0.00423982      
-27.18       0.00344744      0.00237785      0.00424371      0.00344744      0.00237785      0.00424371      
-27.17       0.0034503      0.00237949      0.00424761      0.0034503      0.00237949      0.00424761      
-27.16       0.00345317      0.00238114      0.00425151      0.00345317      0.00238114      0.00425151      
-27.15       0.00345604      0.00238279      0.00425542      0.00345604      0.00238279      0.00425542      
