#site     state_i   state_j   OP.real    OP.imag
9       3          4        0.0101028        5.11155e-07
9       3          5        -0.471147        1.75572e-09
9       4          0        1.08075e-06        6.48301e-07
9       4          1        0.407324        1.72201e-08
9       4          2        0.239214        -7.36938e-09
9       4          3        0.0101028        -5.11155e-07
9       4          4        0.661669        0
9       4          5        0.00714589        -1.96838e-07
9       5          0        3.60302e-05        -3.89784e-09
9       5          1        0.0088972        1.63293e-07
9       5          2        -0.00505736        5.50255e-07
9       5          3        -0.471147        -1.75572e-09
9       5          4        0.00714589        1.96838e-07
9       5          5        0.666804        0
10       0          0        0.999956        0
10       0          1        -1.29141e-06        4.77415e-07
10       0          2        -7.61611e-07        -7.24899e-08
10       0          3        -2.58441e-05        -2.14956e-09
10       0          4        1.08075e-06        -6.48301e-07
10       0          5        3.60302e-05        3.89784e-09
10       1          0        -1.29141e-06        -4.77415e-07
10       1          1        0.507096        0
10       1          2        -0.288022        7.6771e-09
10       1          3        0.0125851        5.80084e-07
10       1          4        0.407324        -1.72201e-08
10       1          5        0.0088972        -1.63293e-07
10       2          0        -7.61611e-07        7.24899e-08
10       2          1        -0.288022        -7.6771e-09
10       2          2        0.830818        0
10       2          3        -0.00715191        3.08752e-07
10       2          4        0.239214        7.36938e-09
10       2          5        -0.00505736        -5.50255e-07
10       3          0        -2.58441e-05        2.14956e-09
10       3          1        0.0125851        -5.80084e-07
10       3          2        -0.00715191        -3.08752e-07
10       3          3        0.333653        0
10       3          4        0.0101028        5.11155e-07
10       3          5        -0.471147        1.75572e-09
10       4          0        1.08075e-06        6.48301e-07
10       4          1        0.407324        1.72201e-08
10       4          2        0.239214        -7.36938e-09
10       4          3        0.0101028        -5.11155e-07
10       4          4        0.661669        0
10       4          5        0.00714589        -1.96838e-07
10       5          0        3.60302e-05        -3.89784e-09
10       5          1        0.0088972        1.63293e-07
10       5          2        -0.00505736        5.50255e-07
10       5          3        -0.471147        -1.75572e-09
10       5          4        0.00714589        1.96838e-07
10       5          5        0.666804        0
11       0          0        0.999956        0
11       0          1        -1.29141e-06        4.77415e-07
11       0          2        -7.61611e-07        -7.24899e-08
11       0          3        -2.58441e-05        -2.14956e-09
11       0          4        1.08075e-06        -6.48301e-07
11       0          5        3.60302e-05        3.89784e-09
11       1          0        -1.29141e-06        -4.77415e-07
11       1          1        0.507096        0
11       1          2        -0.288022        7.6771e-09
11       1          3        0.0125851        5.80084e-07
11       1          4        0.407324        -1.72201e-08
11       1          5        0.0088972        -1.63293e-07
11       2          0        -7.61611e-07        7.24899e-08
11       2          1        -0.288022        -7.6771e-09
11       2          2        0.830818        0
11       2          3        -0.00715191        3.08752e-07
11       2          4        0.239214        7.36938e-09
11       2          5        -0.00505736        -5.50255e-07
11       3          0        -2.58441e-05        2.14956e-09
11       3          1        0.0125851        -5.80084e-07
11       3          2        -0.00715191        -3.08752e-07
11       3          3        0.333653        0
11       3          4        0.0101028        5.11155e-07
11       3          5        -0.471147        1.75572e-09
11       4          0        1.08075e-06        6.48301e-07
11       4          1        0.407324        1.72201e-08
11       4          2        0.239214        -7.36938e-09
11       4          3        0.0101028        -5.11155e-07
11       4          4        0.661669        0
11       4          5        0.00714589        -1.96838e-07
11       5          0        3.60302e-05        -3.89784e-09
11       5          1        0.0088972        1.63293e-07
11       5          2        -0.00505736        5.50255e-07
11       5          3        -0.471147        -1.75572e-09
11       5          4        0.00714589        1.96838e-07
11       5          5        0.666804        0
12       0          0        0.999956        0
12       0          1        -1.29141e-06        4.77415e-07
12       0          2        -7.61611e-07        -7.24899e-08
12       0          3        -2.58441e-05        -2.14956e-09
12       0          4        1.08075e-06        -6.48301e-07
12       0          5        3.60302e-05        3.89784e-09
12       1          0        -1.29141e-06        -4.77415e-07
12       1          1        0.507096        0
12       1          2        -0.288022        7.6771e-09
12       1          3        0.0125851        5.80084e-07
12       1          4        0.407324        -1.72201e-08
12       1          5        0.0088972        -1.63293e-07
12       2          0        -7.61611e-07        7.24899e-08
12       2          1        -0.288022        -7.6771e-09
12       2          2        0.830818        0
12       2          3        -0.00715191        3.08752e-07
12       2          4        0.239214        7.36938e-09
12       2          5        -0.00505736        -5.50255e-07
12       3          0        -2.58441e-05        2.14956e-09
12       3          1        0.0125851        -5.80084e-07
12       3          2        -0.00715191        -3.08752e-07
12       3          3        0.333653        0
12       3          4        0.0101028        5.11155e-07
12       3          5        -0.471147        1.75572e-09
12       4          0        1.08075e-06        6.48301e-07
12       4          1        0.407324        1.72201e-08
12       4          2        0.239214        -7.36938e-09
12       4          3        0.0101028        -5.11155e-07
12       4          4        0.661669        0
12       4          5        0.00714589        -1.96838e-07
12       5          0        3.60302e-05        -3.89784e-09
12       5          1        0.0088972        1.63293e-07
12       5          2        -0.00505736        5.50255e-07
12       5          3        -0.471147        -1.75572e-09
12       5          4        0.00714589        1.96838e-07
12       5          5        0.666804        0
13       0          0        0.999956        0
13       0          1        -1.29141e-06        4.77415e-07
13       0          2        -7.61611e-07        -7.24899e-08
13       0          3        -2.58441e-05        -2.14956e-09
13       0          4        1.08075e-06        -6.48301e-07
13       0          5        3.60302e-05        3.89784e-09
13       1          0        -1.29141e-06        -4.77415e-07
13       1          1        0.507096        0
13       1          2        -0.288022        7.6771e-09
13       1          3        0.0125851        5.80084e-07
13       1          4        0.407324        -1.72201e-08
13       1          5        0.0088972        -1.63293e-07
13       2          0        -7.61611e-07        7.24899e-08
13       2          1        -0.288022        -7.6771e-09
13       2          2        0.830818        0
13       2          3        -0.00715191        3.08752e-07
13       2          4        0.239214        7.36938e-09
13       2          5        -0.00505736        -5.50255e-07
13       3          0        -2.58441e-05        2.14956e-09
13       3          1        0.0125851        -5.80084e-07
13       3          2        -0.00715191        -3.08752e-07
13       3          3        0.333653        0
13       3          4        0.0101028        5.11155e-07
13       3          5        -0.471147        1.75572e-09
13       4          0        1.08075e-06        6.48301e-07
13       4          1        0.407324        1.72201e-08
13       4          2        0.239214        -7.36938e-09
13       4          3        0.0101028        -5.11155e-07
13       4          4        0.661669        0
13       4          5        0.00714589        -1.96838e-07
13       5          0        3.60302e-05        -3.89784e-09
13       5          1        0.0088972        1.63293e-07
13       5          2        -0.00505736        5.50255e-07
13       5          3        -0.471147        -1.75572e-09
13       5          4        0.00714589        1.96838e-07
13       5          5        0.666804        0
14       0          0        0.999956        0
14       0          1        -1.29141e-06        4.77415e-07
14       0          2        -7.61611e-07        -7.24899e-08
14       0          3        -2.58441e-05        -2.14956e-09
14       0          4        1.08075e-06        -6.48301e-07
14       0          5        3.60302e-05        3.89784e-09
14       1          0        -1.29141e-06        -4.77415e-07
14       1          1        0.507096        0
14       1          2        -0.288022        7.6771e-09
14       1          3        0.0125851        5.80084e-07
14       1          4        0.407324        -1.72201e-08
14       1          5        0.0088972        -1.63293e-07
14       2          0        -7.61611e-07        7.24899e-08
14       2          1        -0.288022        -7.6771e-09
14       2          2        0.830818        0
14       2          3        -0.00715191        3.08752e-07
14       2          4        0.239214        7.36938e-09
14       2          5        -0.00505736        -5.50255e-07
14       3          0        -2.58441e-05        2.14956e-09
14       3          1        0.0125851        -5.80084e-07
14       3          2        -0.00715191        -3.08752e-07
14       3          3        0.333653        0
14       3          4        0.0101028        5.11155e-07
14       3          5        -0.471147        1.75572e-09
14       4          0        1.08075e-06        6.48301e-07
14       4          1        0.407324        1.72201e-08
14       4          2        0.239214        -7.36938e-09
14       4          3        0.0101028        -5.11155e-07
14       4          4        0.661669        0
14       4          5        0.00714589        -1.96838e-07
14       5          0        3.60302e-05        -3.89784e-09
14       5          1        0.0088972        1.63293e-07
14       5          2        -0.00505736        5.50255e-07
14       5          3        -0.471147        -1.75572e-09
14       5          4        0.00714589        1.96838e-07
14       5          5        0.666804        0
15       0          0        0.999956        0
15       0          1        -1.29141e-06        4.77415e-07
15       0          2        -7.61611e-07        -7.24899e-08
15       0          3        -2.58441e-05        -2.14956e-09
15       0          4        1.08075e-06        -6.48301e-07
15       0          5        3.60302e-05        3.89784e-09
15       1          0        -1.29141e-06        -4.77415e-07
15       1          1        0.507096        0
15       1          2        -0.288022        7.6771e-09
15       1          3        0.0125851        5.80084e-07
15       1          4        0.407324        -1.72201e-08
15       1          5        0.0088972        -1.63293e-07
15       2          0        -7.61611e-07        7.24899e-08
15       2          1        -0.288022        -7.6771e-09
15       2          2        0.830818        0
15       2          3        -0.00715191        3.08752e-07
15       2          4        0.239214        7.36938e-09
15       2          5        -0.00505736        -5.50255e-07
15       3          0        -2.58441e-05        2.14956e-09
15       3          1        0.0125851        -5.80084e-07
15       3          2        -0.00715191        -3.08752e-07
15       3          3        0.333653        0
15       3          4        0.0101028        5.11155e-07
15       3          5        -0.471147        1.75572e-09
15       4          0        1.08075e-06        6.48301e-07
15       4          1        0.407324        1.72201e-08
15       4          2        0.239214        -7.36938e-09
15       4          3        0.0101028        -5.11155e-07
15       4          4        0.661669        0
15       4          5        0.00714589        -1.96838e-07
15       5          0        3.60302e-05        -3.89784e-09
15       5          1        0.0088972        1.63293e-07
15       5          2        -0.00505736        5.50255e-07
15       5          3        -0.471147        -1.75572e-09
15       5          4        0.00714589        1.96838e-07
15       5          5        0.666804        0
