#(w-mu)    jm_3by2_m3by2     jm_3by2_3by2     jm_3by2_m1by2       jm_3by2_1by2     jm_1by2_m1by2   jm_1by2_1by2
-19.47       0.00139248      0.00646721      0.00272759      0.0334927      0.000982322      0.0107607      
-19.465       0.00140136      0.00653283      0.00270406      0.0324314      0.000975064      0.0104213      
-19.46       0.00141032      0.00659953      0.00268089      0.0314228      0.000967921      0.0100988      
-19.455       0.00141938      0.00666734      0.00265808      0.0304633      0.000960893      0.00979202      
-19.45       0.00142852      0.0067363      0.00263562      0.0295498      0.000953976      0.00949991      
-19.445       0.00143776      0.00680642      0.0026135      0.0286793      0.000947169      0.00922156      
-19.44       0.00144708      0.00687773      0.00259171      0.0278491      0.00094047      0.00895611      
-19.435       0.0014565      0.00695027      0.00257025      0.0270567      0.000933875      0.00870275      
-19.43       0.00146602      0.00702406      0.00254912      0.0262998      0.000927385      0.00846075      
-19.425       0.00147563      0.00709913      0.0025283      0.0255764      0.000920996      0.00822943      
-19.42       0.00148534      0.00717551      0.00250779      0.0248843      0.000914706      0.00800817      
-19.415       0.00149514      0.00725325      0.00248758      0.0242219      0.000908515      0.00779637      
-19.41       0.00150505      0.00733235      0.00246767      0.0235874      0.000902419      0.0075935      
-19.405       0.00151505      0.00741288      0.00244806      0.0229792      0.000896417      0.00739904      
-19.4       0.00152516      0.00749485      0.00242873      0.0223958      0.000890509      0.00721254      
-19.395       0.00153537      0.0075783      0.00240969      0.021836      0.00088469      0.00703356      
-19.39       0.00154569      0.00766328      0.00239092      0.0212984      0.000878961      0.00686169      
-19.385       0.00155612      0.00774982      0.00237242      0.0207819      0.00087332      0.00669655      
-19.38       0.00156665      0.00783796      0.00235419      0.0202852      0.000867764      0.00653778      
-19.375       0.00157729      0.00792775      0.00233623      0.0198075      0.000862293      0.00638507      
-19.37       0.00158804      0.00801922      0.00231852      0.0193478      0.000856905      0.00623809      
-19.365       0.00159891      0.00811242      0.00230106      0.018905      0.000851599      0.00609656      
-19.36       0.00160989      0.0082074      0.00228385      0.0184785      0.000846372      0.0059602      
-19.355       0.00162099      0.0083042      0.00226689      0.0180673      0.000841224      0.00582876      
-19.35       0.0016322      0.00840287      0.00225016      0.0176708      0.000836154      0.00570201      
-19.345       0.00164353      0.00850347      0.00223368      0.0172882      0.000831159      0.00557971      
-19.34       0.00165499      0.00860604      0.00221742      0.0169189      0.000826239      0.00546166      
-19.335       0.00166656      0.00871064      0.00220139      0.0165622      0.000821393      0.00534766      
-19.33       0.00167827      0.00881733      0.00218558      0.0162176      0.000816619      0.00523751      
-19.325       0.00169009      0.00892617      0.00216999      0.0158845      0.000811915      0.00513105      
-19.32       0.00170205      0.0090372      0.00215462      0.0155624      0.000807281      0.00502811      
-19.315       0.00171414      0.00915051      0.00213946      0.0152509      0.000802716      0.00492852      
-19.31       0.00172635      0.00926615      0.00212451      0.0149493      0.000798218      0.00483215      
-19.305       0.0017387      0.00938419      0.00210977      0.0146574      0.000793787      0.00473885      
-19.3       0.00175119      0.00950469      0.00209522      0.0143746      0.000789421      0.00464848      
-19.295       0.00176382      0.00962774      0.00208088      0.0141007      0.000785119      0.00456094      
-19.29       0.00177658      0.0097534      0.00206673      0.0138351      0.000780879      0.00447608      
-19.285       0.00178949      0.00988176      0.00205277      0.0135777      0.000776702      0.00439381      
-19.28       0.00180254      0.0100129      0.002039      0.013328      0.000772587      0.00431402      
-19.275       0.00181574      0.0101469      0.00202541      0.0130857      0.000768531      0.0042366      
-19.27       0.00182908      0.0102838      0.00201201      0.0128505      0.000764534      0.00416146      
-19.265       0.00184258      0.0104238      0.00199878      0.0126222      0.000760595      0.00408851      
-19.26       0.00185622      0.0105669      0.00198574      0.0124005      0.000756714      0.00401766      
-19.255       0.00187003      0.0107132      0.00197286      0.012185      0.000752889      0.00394883      
-19.25       0.00188399      0.0108629      0.00196016      0.0119757      0.000749119      0.00388195      
-19.245       0.00189811      0.0110159      0.00194763      0.0117721      0.000745405      0.00381693      
-19.24       0.00191239      0.0111726      0.00193526      0.0115742      0.000741743      0.0037537      
-19.235       0.00192684      0.0113329      0.00192305      0.0113817      0.000738135      0.00369221      
-19.23       0.00194146      0.0114969      0.001911      0.0111944      0.000734579      0.00363238      
-19.225       0.00195624      0.0116649      0.00189912      0.0110121      0.000731074      0.00357415      
-19.22       0.0019712      0.0118369      0.00188738      0.0108346      0.00072762      0.00351747      
-19.215       0.00198633      0.0120131      0.0018758      0.0106618      0.000724215      0.00346227      
-19.21       0.00200165      0.0121936      0.00186437      0.0104935      0.00072086      0.00340852      
-19.205       0.00201714      0.0123785      0.00185309      0.0103295      0.000717553      0.00335615      
-19.2       0.00203282      0.012568      0.00184196      0.0101697      0.000714293      0.00330511      
-19.195       0.00204868      0.0127624      0.00183097      0.0100139      0.00071108      0.00325537      
-19.19       0.00206473      0.0129616      0.00182012      0.00986205      0.000707914      0.00320687      
-19.185       0.00208098      0.013166      0.0018094      0.00971393      0.000704793      0.00315957      
-19.18       0.00209742      0.0133756      0.00179883      0.00956943      0.000701717      0.00311344      
-19.175       0.00211406      0.0135907      0.00178839      0.00942846      0.000698685      0.00306843      
-19.17       0.0021309      0.0138116      0.00177809      0.00929087      0.000695696      0.0030245      
-19.165       0.00214795      0.0140383      0.00176791      0.00915657      0.000692751      0.00298163      
-19.16       0.00216521      0.0142711      0.00175787      0.00902545      0.000689847      0.00293977      
-19.155       0.00218268      0.0145103      0.00174795      0.0088974      0.000686986      0.0028989      
-19.15       0.00220037      0.014756      0.00173816      0.00877232      0.000684165      0.00285898      
-19.145       0.00221827      0.0150086      0.00172849      0.00865013      0.000681386      0.00281998      
-19.14       0.0022364      0.0152683      0.00171895      0.00853072      0.000678646      0.00278187      
-19.135       0.00225475      0.0155353      0.00170952      0.00841402      0.000675945      0.00274463      
-19.13       0.00227334      0.01581      0.00170021      0.00829994      0.000673284      0.00270823      
-19.125       0.00229216      0.0160927      0.00169102      0.00818839      0.00067066      0.00267264      
-19.12       0.00231122      0.0163837      0.00168195      0.00807931      0.000668075      0.00263783      
-19.115       0.00233052      0.0166833      0.00167299      0.00797261      0.000665527      0.00260379      
-19.11       0.00235007      0.0169919      0.00166414      0.00786823      0.000663016      0.00257049      
-19.105       0.00236987      0.0173099      0.0016554      0.0077661      0.00066054      0.00253791      
-19.1       0.00238992      0.0176376      0.00164676      0.00766614      0.000658101      0.00250603      
-19.095       0.00241024      0.0179755      0.00163824      0.0075683      0.000655697      0.00247482      
-19.09       0.00243081      0.018324      0.00162982      0.00747252      0.000653328      0.00244428      
-19.085       0.00245166      0.0186835      0.00162151      0.00737873      0.000650994      0.00241437      
-19.08       0.00247278      0.0190547      0.00161329      0.00728689      0.000648693      0.00238508      
-19.075       0.00249418      0.0194379      0.00160518      0.00719692      0.000646426      0.00235639      
-19.07       0.00251586      0.0198337      0.00159717      0.00710879      0.000644192      0.00232829      
-19.065       0.00253783      0.0202427      0.00158926      0.00702244      0.000641991      0.00230077      
-19.06       0.00256009      0.0206655      0.00158145      0.00693781      0.000639822      0.00227379      
-19.055       0.00258265      0.0211028      0.00157373      0.00685487      0.000637685      0.00224735      
-19.05       0.00260552      0.0215552      0.00156611      0.00677357      0.000635579      0.00222144      
-19.045       0.00262869      0.0220235      0.00155858      0.00669386      0.000633504      0.00219604      
-19.04       0.00265218      0.0225085      0.00155114      0.0066157      0.00063146      0.00217113      
-19.035       0.002676      0.0230108      0.00154379      0.00653905      0.000629446      0.00214671      
-19.03       0.00270013      0.0235315      0.00153653      0.00646387      0.000627462      0.00212275      
-19.025       0.0027246      0.0240714      0.00152937      0.00639012      0.000625508      0.00209926      
-19.02       0.00274941      0.0246316      0.00152228      0.00631776      0.000623583      0.00207621      
-19.015       0.00277457      0.0252131      0.00151529      0.00624676      0.000621686      0.00205359      
-19.01       0.00280007      0.0258169      0.00150838      0.00617708      0.000619818      0.0020314      
-19.005       0.00282594      0.0264443      0.00150156      0.00610868      0.000617978      0.00200962      
-19       0.00285216      0.0270966      0.00149481      0.00604155      0.000616166      0.00198824      
-18.995       0.00287876      0.0277751      0.00148815      0.00597563      0.000614382      0.00196725      
-18.99       0.00290574      0.0284813      0.00148157      0.00591091      0.000612624      0.00194665      
-18.985       0.00293311      0.0292168      0.00147508      0.00584735      0.000610893      0.00192642      
-18.98       0.00296087      0.0299831      0.00146865      0.00578493      0.000609189      0.00190655      
-18.975       0.00298903      0.0307822      0.00146231      0.00572362      0.000607511      0.00188704      
-18.97       0.0030176      0.0316159      0.00145605      0.00566338      0.000605859      0.00186787      
-18.965       0.00304658      0.0324863      0.00144986      0.0056042      0.000604233      0.00184904      
-18.96       0.00307599      0.0333956      0.00144374      0.00554605      0.000602632      0.00183054      
-18.955       0.00310584      0.0343463      0.0014377      0.0054889      0.000601056      0.00181236      
-18.95       0.00313612      0.0353409      0.00143174      0.00543273      0.000599504      0.00179449      
-18.945       0.00316686      0.0363823      0.00142584      0.00537752      0.000597977      0.00177693      
-18.94       0.00319805      0.0374734      0.00142002      0.00532324      0.000596475      0.00175968      
-18.935       0.00322972      0.0386176      0.00141427      0.00526988      0.000594996      0.00174271      
-18.93       0.00326186      0.0398183      0.00140859      0.00521741      0.000593541      0.00172603      
-18.925       0.00329449      0.0410795      0.00140297      0.00516581      0.000592109      0.00170963      
-18.92       0.00332762      0.0424054      0.00139743      0.00511506      0.0005907      0.0016935      
-18.915       0.00336126      0.0438004      0.00139195      0.00506515      0.000589315      0.00167764      
-18.91       0.00339542      0.0452697      0.00138654      0.00501605      0.000587952      0.00166203      
-18.905       0.0034301      0.0468186      0.00138119      0.00496774      0.000586611      0.00164669      
-18.9       0.00346533      0.048453      0.00137591      0.00492022      0.000585293      0.00163159      
-18.895       0.0035011      0.0501796      0.0013707      0.00487345      0.000583997      0.00161674      
-18.89       0.00353744      0.0520053      0.00136555      0.00482743      0.000582722      0.00160212      
-18.885       0.00357436      0.0539381      0.00136046      0.00478213      0.000581469      0.00158774      
-18.88       0.00361186      0.0559867      0.00135543      0.00473755      0.000580237      0.00157359      
-18.875       0.00364997      0.0581605      0.00135046      0.00469366      0.000579027      0.00155966      
-18.87       0.00368868      0.0604702      0.00134556      0.00465046      0.000577837      0.00154595      
-18.865       0.00372802      0.0629273      0.00134071      0.00460792      0.000576667      0.00153245      
-18.86       0.003768      0.0655449      0.00133593      0.00456604      0.000575519      0.00151916      
-18.855       0.00380864      0.0683374      0.0013312      0.0045248      0.00057439      0.00150608      
-18.85       0.00384994      0.0713208      0.00132653      0.00448418      0.000573282      0.0014932      
-18.845       0.00389192      0.0745133      0.00132192      0.00444417      0.000572193      0.00148051      
-18.84       0.0039346      0.0779348      0.00131736      0.00440477      0.000571124      0.00146802      
-18.835       0.003978      0.0816082      0.00131287      0.00436595      0.000570075      0.00145571      
-18.83       0.00402212      0.0855588      0.00130842      0.00432771      0.000569045      0.00144359      
-18.825       0.00406699      0.0898157      0.00130404      0.00429004      0.000568034      0.00143165      
-18.82       0.00411263      0.0944114      0.0012997      0.00425292      0.000567042      0.00141989      
-18.815       0.00415904      0.0993831      0.00129542      0.00421634      0.000566069      0.0014083      
-18.81       0.00420625      0.104773      0.0012912      0.00418029      0.000565114      0.00139689      
-18.805       0.00425427      0.110631      0.00128702      0.00414476      0.000564178      0.00138564      
-18.8       0.00430313      0.117011      0.0012829      0.00410974      0.00056326      0.00137455      
-18.795       0.00435285      0.123979      0.00127883      0.00407522      0.00056236      0.00136362      
-18.79       0.00440344      0.131609      0.00127481      0.00404119      0.000561478      0.00135286      
-18.785       0.00445492      0.139988      0.00127084      0.00400765      0.000560614      0.00134224      
-18.78       0.00450733      0.149218      0.00126693      0.00397457      0.000559768      0.00133178      
-18.775       0.00456067      0.159419      0.00126306      0.00394196      0.000558939      0.00132147      
-18.77       0.00461497      0.170731      0.00125924      0.0039098      0.000558127      0.0013113      
-18.765       0.00467025      0.183324      0.00125547      0.00387809      0.000557333      0.00130127      
-18.76       0.00472655      0.197397      0.00125174      0.00384681      0.000556555      0.00129139      
-18.755       0.00478387      0.213194      0.00124807      0.00381597      0.000555795      0.00128164      
-18.75       0.00484226      0.231007      0.00124444      0.00378554      0.000555051      0.00127202      
-18.745       0.00490173      0.251194      0.00124086      0.00375553      0.000554324      0.00126254      
-18.74       0.00496231      0.274198      0.00123732      0.00372592      0.000553613      0.00125319      
-18.735       0.00502403      0.300568      0.00123383      0.00369671      0.000552919      0.00124397      
-18.73       0.00508692      0.330992      0.00123039      0.00366789      0.000552241      0.00123488      
-18.725       0.005151      0.366345      0.00122699      0.00363945      0.000551579      0.0012259      
-18.72       0.00521632      0.407748      0.00122364      0.00361139      0.000550932      0.00121705      
-18.715       0.00528289      0.456661      0.00122033      0.0035837      0.000550302      0.00120832      
