#(w-mu)    yz_up    xz_up      xy_up     yz_dn    xz_dn      xy_dn
-19.41       0.00391635      0.00391635      0.0306826      0.00100165      0.00100165      0.00286975      
-19.405       0.00395699      0.00395699      0.0298884      0.00100244      0.00100244      0.00284337      
-19.4       0.00399837      0.00399837      0.0291266      0.00100345      0.00100345      0.00281735      
-19.395       0.00404049      0.00404049      0.0283956      0.00100469      0.00100469      0.0027917      
-19.39       0.00408338      0.00408338      0.0276935      0.00100614      0.00100614      0.00276641      
-19.385       0.00412705      0.00412705      0.0270189      0.0010078      0.0010078      0.00274146      
-19.38       0.00417153      0.00417153      0.0263704      0.00100965      0.00100965      0.00271687      
-19.375       0.00421683      0.00421683      0.0257465      0.0010117      0.0010117      0.00269261      
-19.37       0.00426298      0.00426298      0.025146      0.00101393      0.00101393      0.00266868      
-19.365       0.00431      0.00431      0.0245678      0.00101635      0.00101635      0.00264508      
-19.36       0.00435791      0.00435791      0.0240107      0.00101893      0.00101893      0.00262181      
-19.355       0.00440673      0.00440673      0.0234737      0.00102169      0.00102169      0.00259884      
-19.35       0.0044565      0.0044565      0.0229558      0.00102461      0.00102461      0.00257619      
-19.345       0.00450723      0.00450723      0.0224561      0.0010277      0.0010277      0.00255384      
-19.34       0.00455895      0.00455896      0.0219737      0.00103094      0.00103094      0.00253179      
-19.335       0.0046117      0.0046117      0.0215078      0.00103433      0.00103433      0.00251003      
-19.33       0.00466549      0.00466549      0.0210576      0.00103787      0.00103787      0.00248856      
-19.325       0.00472035      0.00472035      0.0206225      0.00104156      0.00104156      0.00246737      
-19.32       0.00477632      0.00477632      0.0202018      0.0010454      0.0010454      0.00244646      
-19.315       0.00483343      0.00483343      0.0197948      0.00104937      0.00104937      0.00242583      
-19.31       0.00489171      0.00489171      0.0194008      0.00105349      0.00105349      0.00240546      
-19.305       0.00495119      0.00495119      0.0190194      0.00105774      0.00105774      0.00238536      
-19.3       0.00501191      0.00501191      0.01865      0.00106213      0.00106213      0.00236551      
-19.295       0.0050739      0.0050739      0.0182921      0.00106665      0.00106665      0.00234592      
-19.29       0.00513721      0.00513721      0.0179452      0.0010713      0.0010713      0.00232659      
-19.285       0.00520186      0.00520186      0.0176088      0.00107608      0.00107608      0.0023075      
-19.28       0.00526791      0.00526791      0.0172826      0.00108098      0.00108098      0.00228865      
-19.275       0.00533539      0.00533539      0.016966      0.00108602      0.00108602      0.00227004      
-19.27       0.00540434      0.00540434      0.0166587      0.00109118      0.00109118      0.00225166      
-19.265       0.00547482      0.00547482      0.0163603      0.00109647      0.00109647      0.00223351      
-19.26       0.00554686      0.00554686      0.0160706      0.00110188      0.00110188      0.00221559      
-19.255       0.00562052      0.00562053      0.015789      0.00110742      0.00110742      0.0021979      
